dates,similarity
2021-12-10,
2021-12-11,0.11493649850835272
2021-12-12,0.14285850360796096
2021-12-13,0.12119154178725582
2021-12-14,0.11689420517100307
2021-12-15,0.11637148874419172
2021-12-16,0.11473274095135423
2021-12-17,0.11473274095135362
2021-12-18,0.11576087603207337
2021-12-19,0.10819375958519717
2021-12-20,0.09674787381279992
2021-12-21,0.09580525727076021
2021-12-22,0.09512519608718102
2021-12-23,0.10729464357710944
2021-12-24,0.10686906739898908
2021-12-25,0.10950265062462403
2021-12-26,0.07037801940631205
2021-12-27,0.05642091328733987
2021-12-28,0.05184507065144896
2021-12-29,0.04356787489733643
2021-12-30,0.04146179615519589
2021-12-31,0.04128803615904293
2022-01-01,0.03976499857848313
2022-01-02,0.033698844161829576
2022-01-03,0.03299750329676024
2022-01-04,0.035030018424877934
2022-01-05,0.042603164293260005
2022-01-06,0.041606622426124465
2022-01-07,0.0419067608737004
2022-01-08,0.0438682022511964
2022-01-09,0.035423603729612806
2022-01-10,0.03483966972605707
2022-01-11,0.03507484115456733
2022-01-12,0.03507484115456908
2022-01-13,0.0350748411545697
2022-01-14,0.03504955595442025
2022-01-15,0.033073352308341214
2022-01-16,0.031810661334722004
2022-01-17,0.032452531726115834
2022-01-18,0.06813409185915328
2022-01-19,0.06925001658924515
2022-01-20,0.06810228342402781
2022-01-21,0.06728748511443432
2022-01-22,0.05849003127088673
2022-01-23,0.05575371009651026
2022-01-24,0.055542035269387884
2022-01-25,0.05426266852192052
2022-01-26,0.053190040434692165
2022-01-27,0.05211390463697039
2022-01-28,0.054964535230514984
2022-01-29,0.05327012389358376
2022-01-30,0.046554702999079
2022-01-31,0.043000873236443235
2022-02-01,0.04769835151554017
2022-02-02,0.042815723064628365
2022-02-03,0.045270130917749105
2022-02-04,0.04343008844280116
2022-02-05,0.0443580115813966
2022-02-06,0.040778857916946756
2022-02-07,0.04049481755758262
2022-02-08,0.04014031844407942
2022-02-09,0.0379248850779339
2022-02-10,0.03724201046159751
2022-02-11,0.037079364666599314
2022-02-12,0.04013403158074593
2022-02-13,0.031877767671684085
2022-02-14,0.03126177764449595
2022-02-15,0.03126177764449391
2022-02-16,0.03137896604407897
2022-02-17,0.03154105297947085
2022-02-18,0.03154105297947313
2022-02-19,0.031541052979474495
2022-02-20,0.031541052979473475
2022-02-21,0.03182699873680406
2022-02-22,0.031826998736803766
2022-02-28,0.031826998736805105
2022-03-01,0.03738992307783444
2022-03-02,0.03815283512581836
2022-03-03,0.03568689113550038
2022-03-04,0.03770930050184753
2022-03-05,0.043351339082442285
2022-03-06,0.042663941511747676
2022-03-07,0.0449866620556073
2022-03-08,0.04495402584292319
2022-03-09,0.043441786228160396
2022-03-10,0.04230562494937239
2022-03-11,0.037946321219037
2022-03-12,0.03120775094694759
2022-03-13,0.02918982182351083
2022-03-14,0.02882917846016096
2022-03-15,0.028938092557066596
2022-03-16,0.028385216788514946
2022-03-17,0.03316594710326908
2022-03-18,0.031217150147980256
2022-03-19,0.02967034417968688
2022-03-20,0.028047522630885346
2022-03-21,0.027427258773769655
2022-03-22,0.027124976331616164
2022-03-23,0.026753226433111205
